step,loss_D,loss_G,D_real_mean,D_fake_mean,gp
0,-4.48207950592041,2.956636905670166,1.4109325408935547,-3.295684814453125,0.2494865357875824
50,-30.33592414855957,18.02060890197754,18.376941680908203,-17.654462814331055,6.328309059143066
100,-11.940755844116211,16.729454040527344,-4.2522430419921875,-18.047420501708984,2.0604681968688965
150,-9.839500427246094,30.637632369995117,9.606229782104492,-13.54870891571045,14.794930458068848
200,-15.217473983764648,26.975589752197266,3.258512020111084,-20.99921417236328,10.04472541809082
250,-16.017581939697266,29.73349380493164,5.798285484313965,-23.291873931884766,14.525086402893066
300,-14.892861366271973,18.569355010986328,-14.874013900756836,-35.820621490478516,6.726385116577148
350,-12.119833946228027,33.028663635253906,-28.05638885498047,-43.89822006225586,4.135552406311035
400,-15.036139488220215,40.779808044433594,-2.7544984817504883,-32.008216857910156,15.797311782836914
450,-13.663019180297852,36.854591369628906,-26.576990127563477,-44.47868347167969,4.7096381187438965
500,-11.62282657623291,36.67619323730469,-29.261474609375,-43.636878967285156,3.058419704437256
550,-10.87761116027832,38.441978454589844,-27.118972778320312,-41.354522705078125,3.7310426235198975
600,-8.671610832214355,42.54526901245117,-35.096649169921875,-44.91415786743164,1.273220181465149
650,-13.083856582641602,45.529232025146484,-19.63218116760254,-39.763526916503906,7.830543518066406
700,-9.55184555053711,40.530555725097656,-37.13834762573242,-49.515625,3.139368772506714
750,-8.247664451599121,47.7568359375,-42.941741943359375,-53.09789276123047,2.120540142059326
800,-10.251401901245117,51.41108322143555,-21.348304748535156,-45.11071014404297,15.012226104736328
850,-12.19646167755127,48.51752471923828,-34.52138900756836,-50.75152587890625,4.481861591339111
900,-11.989777565002441,57.32212448120117,-26.43243980407715,-47.95890808105469,10.596323013305664
950,-11.639220237731934,60.555816650390625,-29.822856903076172,-50.37755584716797,9.906087875366211
1000,-9.488643646240234,53.61780548095703,-46.66932678222656,-58.67985534667969,2.8020946979522705
1050,-10.510688781738281,52.87184524536133,-43.43304443359375,-57.635986328125,4.102503299713135
1100,-8.957969665527344,57.32609558105469,-47.01087951660156,-61.09320831298828,5.693733215332031
1150,-10.36281967163086,62.65216827392578,-37.831058502197266,-55.95530700683594,8.623809814453125
1200,-9.73989486694336,65.61601257324219,-39.96432113647461,-58.026649475097656,9.247148513793945
1250,-8.38870906829834,60.88921356201172,-60.05418014526367,-70.4663314819336,2.2482690811157227
1300,-8.328582763671875,63.86455535888672,-57.05007553100586,-67.4163818359375,2.2641377449035645
1350,-10.199518203735352,66.65200805664062,-48.22013854980469,-64.83299255371094,7.12592887878418
1400,-10.104063034057617,68.36732482910156,-46.85429382324219,-65.22941589355469,9.190065383911133
1450,-7.383343696594238,66.83290100097656,-67.62289428710938,-77.44696044921875,2.7119140625
1500,-10.156957626342773,65.05427551269531,-58.1778450012207,-72.03785705566406,4.114505290985107
1550,-8.984196662902832,67.24554443359375,-57.880271911621094,-71.6915283203125,5.363399982452393
1600,-9.51535415649414,75.20416259765625,-51.494873046875,-66.27233123779297,5.84678316116333
1650,-8.940649032592773,72.37834167480469,-58.23120880126953,-71.87908935546875,5.230257987976074
1700,-9.042262077331543,74.349609375,-58.60832595825195,-72.51957702636719,5.409987926483154
1750,-8.341293334960938,74.4593505859375,-60.610679626464844,-73.79100036621094,5.376698017120361
1800,-8.87137222290039,77.94306945800781,-63.292816162109375,-76.90991973876953,5.273035526275635
1850,-7.827852249145508,74.32208251953125,-71.20857238769531,-81.31440734863281,2.5310921669006348
1900,-8.19918441772461,80.95043182373047,-58.99833679199219,-74.90005493164062,8.558371543884277
1950,-9.156824111938477,80.81585693359375,-62.58512496948242,-75.96617126464844,4.693580150604248
2000,-8.502519607543945,82.14628601074219,-61.937660217285156,-77.35183715820312,7.679619789123535
2050,-7.968729019165039,75.54932403564453,-69.7131118774414,-79.60521697998047,2.137084484100342
2100,-7.879223823547363,81.80516815185547,-67.21512603759766,-81.02276611328125,6.587129592895508
2150,-8.551187515258789,85.19415283203125,-64.82408142089844,-80.06846618652344,7.436886787414551
2200,-8.524367332458496,82.66668701171875,-67.77922058105469,-81.57209777832031,5.853899955749512
2250,-7.065563201904297,82.06333923339844,-78.7161636352539,-87.23078155517578,1.610060691833496
2300,-8.155831336975098,81.74750518798828,-77.03121948242188,-88.95701599121094,4.188849925994873
2350,-7.537250518798828,84.97624206542969,-74.19503784179688,-84.06251525878906,2.589141368865967
2400,-8.692821502685547,86.56759643554688,-73.85657501220703,-87.9480209350586,5.998471260070801
2450,-8.26675033569336,88.31853485107422,-79.08692932128906,-90.74671936035156,3.7700438499450684
2500,-7.474103927612305,87.16818237304688,-82.06083679199219,-92.01416015625,2.754688262939453
2550,-7.715749263763428,94.83990478515625,-76.34500122070312,-90.01225280761719,6.612780570983887
2600,-6.2647705078125,96.16978454589844,-77.24030303955078,-90.4220962524414,7.685581207275391
