step,loss_D,loss_G,D_real_mean,D_fake_mean
0,1.4007290601730347,0.5616878867149353,0.485595703125,0.49658203125
50,0.9740789532661438,1.049118995666504,0.5009765625,0.2098388671875
100,1.0650060176849365,1.7183713912963867,0.64892578125,0.405517578125
150,0.9651155471801758,1.2993518114089966,0.57666015625,0.294189453125
200,1.2656272649765015,0.8973938822746277,0.41015625,0.330322265625
250,1.17991042137146,1.1144657135009766,0.5029296875,0.37548828125
300,1.0143226385116577,1.273268222808838,0.53564453125,0.299560546875
350,1.1538281440734863,1.2906779050827026,0.57958984375,0.4130859375
400,1.0846837759017944,1.5233485698699951,0.62158203125,0.3974609375
450,1.1896836757659912,1.0461301803588867,0.466552734375,0.33740234375
500,1.2388954162597656,1.106758952140808,0.4853515625,0.3896484375
550,1.2279293537139893,0.9204350709915161,0.395751953125,0.27685546875
600,1.1963233947753906,1.1712355613708496,0.493408203125,0.3701171875
650,1.0623154640197754,1.1185940504074097,0.51025390625,0.2998046875
700,1.2137136459350586,1.5400981903076172,0.634765625,0.4775390625
750,1.1056647300720215,1.292279601097107,0.5556640625,0.3642578125
800,1.0907834768295288,1.4425424337387085,0.56884765625,0.36767578125
850,1.122673511505127,1.0871827602386475,0.498046875,0.328125
900,1.1162199974060059,1.2665654420852661,0.5732421875,0.3896484375
950,1.022665023803711,1.1529436111450195,0.5283203125,0.292724609375
1000,1.125651240348816,1.0219390392303467,0.47802734375,0.31005859375
1050,1.0799058675765991,1.0757145881652832,0.493408203125,0.295654296875
1100,1.0921334028244019,1.1180427074432373,0.51806640625,0.3291015625
1150,1.1655817031860352,1.0643310546875,0.47412109375,0.33349609375
1200,1.1974807977676392,0.841384768486023,0.36572265625,0.21142578125
1250,1.1532387733459473,1.0916495323181152,0.48876953125,0.341796875
1300,1.1297569274902344,1.1218225955963135,0.488525390625,0.32763671875
1350,1.2220165729522705,0.9513903856277466,0.44189453125,0.33984375
1400,1.1068731546401978,1.1167912483215332,0.51171875,0.334716796875
1450,1.1315497159957886,1.1526120901107788,0.5283203125,0.364013671875
1500,1.1858949661254883,1.1882352828979492,0.5263671875,0.392822265625
1550,1.1886076927185059,1.0575445890426636,0.50634765625,0.383544921875
