loss_type,FID,KID_mean,KID_std,lossD_std,lossG_std,runtime_sec
bce,11.851381489373033,86.4732437133789,32.37274169921875,0.37154150198672636,1.0495874368554652,133.48500156402588
lsgan,9.31689916637988,77.1097640991211,40.21442413330078,0.064724034994116,0.14496647232718268,138.68568229675293
hinge,10.27922516754262,71.8672866821289,34.34296798706055,0.32844983196260447,0.6916123233035893,131.78908014297485
wgan-gp,,,,0.5042025702488909,0.5000488014048596,122.62747073173523
